text,label
همیشه موفق باشید,1
خيلي خوب بوديندمتون گرم,1
عالیییییی درجه,1
برچم جنوب بالاس,1
عالی بهشون رای میدم,1
قاسم یادگاری بهتر از این میخونه,0
داوری به درد نخور,0
خيليييي خراب كرد,0
خوب بود کارش,1
آرش جان دمت گرم عالی بودین,1
خیییییییلی خوب بودن,1
صدااااش خیلی خیلی جالبه,1
ريدين با اين راي دادن,0
بی نظیر وعالی,1
اعتماد بنفس نداشت,0
احسنت,1
داورا از روی احساس تصمیم میگیرن,0
افتضاحه,0
وای چه حافظه ایی,1
سلولی در من تکون نخورد,0
این چیه اخه برنامه استعداد یابیه,0
حیف شد کارش جالب بود,0
سلاطین,1
فقط حیایی,1
خیلی پسر با نمکی بود,1
بسیار زیبا و قابل تحسین بود,1
نه واقعا این چی بود,0
چرت بود,0
عالی بود بدمینتون بازا همه عشقن,1
صداش از تو کونش درمیومد,0
دمتو گرم,1
اهنگ خوبی انتخاب نکرده بود برادخوندن,0
اصلا اجراشون خوب نبود,0
عاالییی,1
معرکه بود,1
عالییییییییی بودین,1
گروه بدمینتون عالی بود,1
متاسفم برای داوری,0
ماشالله,1
دوس دالم صداشو,1
آبادان برزیلته,1
دمت گرم عالی کوکا,1
عالییییییی,1
خیلی مبارک باشه,1
تبرریک خسته نباشید,1
خاک تو سر داروتون با شعورش,0
باید چهارتا رای قرمز میگرفتن,0
خوب که چی,0
به کارشون باید محتوا بدت,0
عالی بود اروزی پله هایی موفقیت,1
خیلیم عالی  بهترین تایمه,1
كار اينا فوق العاده بود,1
علیخانی تک تک,1
بینظیر بود کارتون عزیزان,1
وای عالی بودن عااااالی,1
آفرین پسران لر,1
عالیییییی بوددددد,1
اجراشون فوق الاده بود ترکوندن,1
عااااااااااالییییییییییییی بووووووووود,1
عالي بود,1
اجراتون عاليه من اومدم,1
چرا صدا خروس میداد,0
حقش بود برنده شه ترکوند عصرجدیدو,1
قشنگ خوند که,1
حقش بود که بیاد بالا,1
دمتون گرم,1
خیلی خوب نبود,0
صداشو خیلی دوست داشتم,1
خوب نبود,0
ريد,0
بد بود صداش,0
حیایی عشششقه,1
خیلییییی خوب بودن خیلی,1
نه باو خو نبود,0
گروه بال فرشتگان محشر بود,1
ماشااله,1
استعداد یعنی همین,1
عالی بوووود برنامه ممنون وخسته نباشید,1
بدبخت رید بدم رید استرس داشت,0
واقعا حقشون مبارکشون باشه,1
بعد همون موقع صدا ظبط کرد,0
هرکی میگه ترکوند لایک کنه,1
تبریک,1
ماشاالله,1
عاشق این سبکم,1
عالیه عالیترازعالی,1
آبادان برزیلته  حیاک,1
سلام دره پیت,0
به دلنشین نبود,0
این داره گوجه میفروشه,0
فقط عصر جدید,1
این ک عالی بود,1
عالی بود سلطان حافظه,1
خفن بود,1
واي خيلي خوب بودن اينا,1
تخمی,0
دیگه برنامه داره افت میکنه واقعا,0
خیلی ضایه بازی در اورد,0
عااااالییییی,1
صداش خیلی تخمیه,0
حفظ تعادلشون خوب بود,1
اریا چرا انقدددددددددددددددد گوشت تلخهههههههههههههه خداااااااااا,0
چه قشنگ,1
عااااااالی,1
خیلی خوب صداش من لذت بردم,1
كاش داورا تغيير كنن,0
بخدا من خجالت کشیدم بجاش,0
به دلم نشست,1
شیرمادر حلالت,1
عالی بچه ها خسته نباشین,1
وای چقد خوب بودین شما,1
درود بر شما,1
دوس نداشتم,0
خیلی خاص و فوق العاده,1
عالی بودن,1
من خوشم امدازصداش اهنگش,1
همش انگار میخواس بیفته,0
ایول,1
خیلی بد بود صداش و اهنگش,0
گاف زیاد دادن,0
آرزوی موفقیت,1
حرف نداره,1
پرچم کرمانج زبونا بالاس,1
عاااالی بود مخصوصا پیام اخرشون,1
خوشم نیومد,0
داوران ایکبیری به جز امین حیایی,0
خیلی خوب بود این,1
گوه تو اجراشون عربای خر,0
چه جالب,1
فدات,1
وای چ خوبه صداشششش,1
بهترین صدایی بود که شنیدم,1
داوری احساسی عادلانه نیست,0
خوب بود عشقه امین حیایی,1
دمت گرم آرمان عزیز,1
شماهمیشه بهترین هستین   تبریک,1
کارتون عالیه واقعن,1
داورا مغزشون نکشید رای منفی دادن,0
چه خوبه صداش,1
واقعا هیف ازاین صداکه نرفت بالا,0
گند بود,0
سانسور نکنید,0
رای منفی میدین حدقل ضایعش نکنین,0
امین حیایی عالی بود,1
عال  بود  پسر,1
بیمزه بود,0
واقعا عالللللیییییی,1
عالی بودین,1
عالی بود کارتون,1
عالی حقش بود بره فینال,1
